tipo,codigo_division,nombre_division,codigo_grupo,nombre_grupo,codigo_clase,nombre_clase,row_hash
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503436,Uvas para vino congeladas,975ebf3eff5bbf1ae79d4895ac9cc23b5b90559ca6d4140dd07ea846c90171d4
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,503435,Uvas pasas congeladas,a7a62c30d856ae0603b981621a6123fe45ab7db42fcea0eb87842bcf06f1d570
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503672,Aceitunas en lata o en frasco,d73bf549216e17297fa9d3681899db43fd58ed53ecae410a438c8f58168e408a
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503622,Agrás en lata o en frasco,aa3eede3f85e5aefe0c53142ef9e0cc83258b4cac2d03debf02359e679c770fe
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503616,Albaricoques en lata o en frasco,216ced08d326288c3c1407b26ec74e795f8e5c408434e46780c0db5f01a79947
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503621,Arándanos de mirto en lata o en frasco,65578155ffb4a43417a479191f0528e5463944ab03dbc5c206e50ec33ad241d6
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503627,Arándanos en lata o en frasco,3e346f80a236497ae34497d13bd13273b5b0a77560409455d419c24ae63972ec
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503638,Arándanos Huckleberry en lata o en frasco,4322d648855352b6b18e42519a016f1ebb6d8ba13ddcb4461d0564c75d5eaf74
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503671,Aronias en lata o en frasco,0cda115c3e01ec0b6e086aebcb0b30a83d32fc2360b360d889460b923c624994
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503617,Bananos en lata o en frasco,1da4f29935290bfd915599a644357bde71d30d42d38f93a2daa2a5774c96c856
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503618,Barberries en lata o en frasco,b49ff9305bf0c56a26d8048d1cb04b24398311b2a4b55d0c38521b1042a93af0
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503666,Bayas saskatoon en lata o en frasco,1dc43e8dc48941707f237ba5185ae11e3af9a0c935049c5821c6b79c9e410b2a
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503631,Brevas en lata o en frasco,0d4de188e526310d39f4b7856d69a4c7d01a4ebf87fa1d583c58d034ae9bd85b
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503655,Caquis en lata o en frasco,a4e2f614a0913c6c4c0970f3201f11ee131623ac60f3859e5a0ee5f48fc8b2c2
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503625,Cerezas en lata o en frasco,259f93e2ab154a2f22f39c4815ce2c4219f7ea5a9185e346c58fa1c297e38bd8
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503624,Chirimoyas en lata o en frasco,a276e00476cfcdb67e1f0a092a6b82f63a8075c72571730b05923ac5d2e07202
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503658,Ciruelas en lata o en frasco,0f64c1c10539462374fa38214009a7032da0206b4a13aba31b8a786e52c7fb15
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503657,Ciruelos Damascos en lata o en frasco,4ab9d2c73d6fcfd3f164073652284d1d1ad2e2616b660429712e58b27f03d6ce
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503626,Citrones en lata o en frasco,f23b3e2f66a05deee1b879cd48e126bcd3d567dc66b791d8272b284c96c1dd89
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503629,Dátiles en lata o en frasco,69e1ebae25800df72e523ce2632f7af35b714f88c2acdcdda9045c41f059dcd5
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503653,Duraznos en lata o en frasco,9bd8ffe64235efa990bacc8575baa040d4f99222d84bb88850472258d1243b85
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503664,Escaramujos en lata o en frasco,ee20e7673a231a750dfe0173f1968083a9b34d39f9ad24b7451dd7a1af70799f
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503662,Frambuesas en lata o en frasco,019381e563b62c04fffee5c5fe8b7df8aab725b4db1dbd7f8a222289a171f909
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503667,Fresas en lata o en frasco,c91f9c1499659096707101a123af354ac254f528b35fc2dc5b599769bd5fe7f8
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503623,Frutas del pan en lata o en frasco,908aa35cda2a0468397d816dca48d31909ba32de3221661593ce64021b10fbe2
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503670,Frutas Nominant en lata o en frasco,73493f69ab2495f2fdfb1fff9f5e124e4e30e9a05480d799d54f1dd421f2b9c0
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503619,Gayubas en lata o en frasco,63b2eec4d9ce9943ce207a04ac80a06b9880c57fe59e9e36d61f0edd398c639c
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503659,Granadas en lata o en frasco,5a3cbe69922fecd7daefdc9438e28b67c816c77f77099579777b909eb4e109be
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,503632,Grosellas en lata o en frasco,9d89d090914b79a5ec307cc6caf3e5fa305f115c3ed7b495f755cca24e47c1df
