tipo,codigo_division,nombre_division,codigo_grupo,nombre_grupo,row_hash
Producto,31,Componentes y Suministros de Manufactura,3131,Ensambles de tubería fabricada,9ca91abb8e230a54d7192f3be2941e6bffb2a2de3d5db788d78438c624d3dacf
Producto,31,Componentes y Suministros de Manufactura,3133,Ensambles estructurales fabricados,39b66e68cff40a724f624bc41ef157df0e96d8736526808592e322a1c63aa330
Producto,31,Componentes y Suministros de Manufactura,3132,Ensambles fabricados de material en barras,ffb463aa664a63be68ec9fa36e8042270f58ba757f7dd88cfcdcf3a96d03088b
Producto,31,Componentes y Suministros de Manufactura,3122,Extractos de teñir y de curtir,cb98c03b69abd4a40f0cc3aa2138b21154c5b6099e7f1da5f54eafea290a258d
Producto,31,Componentes y Suministros de Manufactura,3111,Extrusiones,9c5cf50bd78fd9fe1fefacbed71de3ebaeec8d02d7b2c83cf5c5c23ebb778711
Producto,31,Componentes y Suministros de Manufactura,3129,Extrusiones maquinadas,f77a9d1903dd173a5979b3984b60e53f4a4605bafeae0cdec55c3abf8eede088
Producto,31,Componentes y Suministros de Manufactura,3116,Ferretería,a61088fbad7a6516c0d0d20784e7409d65dd9d10a61b8c362633e21711fa763e
Producto,31,Componentes y Suministros de Manufactura,3113,Forjaduras,690aebc2297a4da38962ef6e9d2655cfb86cb1efbb959672e08f7b33b4931ebf
Producto,31,Componentes y Suministros de Manufactura,3130,Forjas labradas,7ce9f4affb3588e289917cd22ade50a58c0b557fa4419e31aebb1e2cbdae8259
Producto,31,Componentes y Suministros de Manufactura,3138,Imanes y materiales magnéticos,417319883f8a25ae9ec5899a964bfda5ec40adf9674107bff039c060e387a083
Producto,31,Componentes y Suministros de Manufactura,3139,Maquinados,f50cf9554d3d1535258bcfe5825d4238a8902f833d190121d88974391e64eb92
Producto,31,Componentes y Suministros de Manufactura,3123,Materia prima en placas o barras labradas,4db2f39e342c86e5566ce1543478c8329cd9e17d491cce432222254eb470b9cc
Producto,31,Componentes y Suministros de Manufactura,3119,Materiales de afilado pulido y alisado,7a82fc2f2e334392feb30c3d21dce563f569ec8c61cc0e743d5d3cfcd29cdbd0
Producto,31,Componentes y Suministros de Manufactura,3114,Molduras,24a5afc2215c2d4ba789fb044c9268fa46a01583702e272caadfd9e06eb16734
Producto,31,Componentes y Suministros de Manufactura,3124,Óptica industrial,3e059da40556d2807efce77e78bd0e6b8c54beacb13eae80dbaddf9a2ad56ddc
Producto,31,Componentes y Suministros de Manufactura,3142,Partes sinterizadas,3cd77d4af3053824f85a59da69d38ece19a3abe4daa0daf7a66c5efdfaf50997
Producto,31,Componentes y Suministros de Manufactura,3110,Piezas de fundición y ensambles de piezas de fundición,a926b194d5f8ba719878a619a70282ef02518b8b06c156c964268d7e9eec5e78
Producto,31,Componentes y Suministros de Manufactura,3112,Piezas fundidas maquinadas,6ae8b3d61bad98954bc5ac4840a7b7e54cb711f900b562dec1ffce6ae30439f6
Producto,31,Componentes y Suministros de Manufactura,3127,Piezas hechas a máquina,f5f3e2bc1f9e994c9a6ee75da12c77bf85b91f73d72a6d9c5026e7136e32747a
Producto,31,Componentes y Suministros de Manufactura,3121,Pinturas y bases y acabados,536246b5658ce57fd2ce341423fa1a37d99ffb3fb01e8fa784f3e7a2b0689e51
Producto,31,Componentes y Suministros de Manufactura,3137,Refractarios,5c3193ab7057455ec18ad68a5cbb3fe82c6957b8d0f48b4bbdc589ccd62fb0d9
Producto,31,Componentes y Suministros de Manufactura,3117,"Rodamientos, cojinetes ruedas y engranajes",a57057ea8efeeb8ce2eb7e4c31bf6e9036533a7e7a350cc82065e3fd9a6a4105
Producto,31,Componentes y Suministros de Manufactura,3141,Sellos,fd2013056a8a247f7c68e547fdc9ab873a48f7fbac4bc7be457b3a90df94d391
Producto,31,Componentes y Suministros de Manufactura,3125,"Sistemas de control neumático, hidráulico o eléctrico",79aced93fad8e52330324a4f41bf383c174528c07461528a64df85d1321888b6
Producto,32,Componentes y Suministros Electrónicos,3210,"Circuitos impresos, circuitos integrados y micro ensamblajes",65fa33d9ae7065d7f8b2734e084b9fa11b92ab8af9f9acf06a63aec0c608d2f7
Producto,32,Componentes y Suministros Electrónicos,3212,Componentes pasivos discretos,edd95c962189d45adc0ee9a480c55084160a2fb167ad2dfa3de95072a23f61c3
Producto,32,Componentes y Suministros Electrónicos,3211,Dispositivo semiconductor discreto,6bba9808cb13fc678a252e751d20e6df3bbde2587878256196c0b9706ee7c1eb
Producto,32,Componentes y Suministros Electrónicos,3214,Dispositivos de tubo electrónico y accesorios,c7d3026f88feb22f65094eca7aa134e098e9c4ebf3f2e6da3f8a26c8de3f8c47
Producto,32,Componentes y Suministros Electrónicos,3215,Dispositivos y componentes y accesorios de control de automatización,5b1b528138beef83f8c752764a4721c6d845dce04ad5f32d86758dd136807f2e
Producto,32,Componentes y Suministros Electrónicos,3213,Piezas de componentes y hardware electrónicos y accesorios,5fe235f74bdac212c9fe1c6dcfd00c80b9be0a19d61b4657df22ddb0345b2e72
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3014,Aislamiento,5a5c42b1340b51b0603aceaabc933b7e7a3aa230aaed6b1db69efaff0905d3cd
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3012,Carreteras y paisaje,85d7d41c62859bc91de4a8b71604b07870dae293e46fe28b1d698ab8d0171d12
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3024,Componentes de construcción de estructura portátil,eb85b9908e8f6d934a3702ea37ad8363e98608fb27e5a584015afe3e63150434
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3010,Componentes estructurales y formas básicas,ef868124e320629d8b0a92d9eeb0140f55a9273e147ad65ed2cfa0952b66cf8c
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",3019,Equipo de apoyo para Construcción y Mantenimiento,3f5d8acb0159ef1eba6b700d9d89410645b788662ed6b0eca54c1eaca6e4c62b
